8690,1,2995,1503,2098,1,1,1
17380,19247,19968,17827,15387,6467,1467,1
8690,1,2163,1503,1631,323,1,1
8690,1,4825,4940,3030,1293,326,1
8690,1,4326,3221,699,646,163,1
8690,1,665,2147,1865,1131,163,1
8690,1,998,2792,1865,161,163,1
8690,1,3494,2577,3030,485,163,1
8690,1,5491,3436,5129,646,163,1
8690,28870,5158,4725,7926,2748,815,1
8690,9623,5990,4080,6527,2102,1,158
8690,9623,5491,5584,5828,1455,652,1
8690,1,832,644,466,323,1,1
8690,9623,7987,8376,15387,8408,2446,475
8690,1,3494,6014,6527,1778,163,1
8690,9623,15142,12672,10724,4365,326,1
8690,9623,4492,8161,9558,8408,815,317
8690,9623,4825,2362,2797,1293,163,1
8690,1,499,859,1631,161,326,1
8690,1,2662,4295,1631,970,1,1
17380,9623,19469,14820,19817,5335,978,1
34760,38494,23629,19975,21682,7599,652,1
8690,1,8486,4295,5129,970,489,1
8690,1,4992,7947,4895,2910,489,1
8690,19247,10150,5584,5129,1940,326,1
8690,1,3660,2362,3730,2263,1,1
34760,1,15642,14820,17718,7761,1793,1
8690,1,3494,1073,4196,1455,163,1
8690,19247,14310,7517,10957,3395,652,1
26070,38494,30618,28781,25179,12773,1467,158
8690,28870,9152,9665,11657,3395,1141,1
26070,1,8985,6873,2331,485,1,1
17380,1,9152,9021,6761,3395,163,1
17380,9623,5158,6228,6761,1131,489,1
8690,9623,8819,7302,6061,1940,1,1
17380,9623,10483,7732,6294,3557,652,1
8690,38494,9152,11813,11190,4365,1304,1
34760,57741,26791,25559,29142,11641,1956,475
8690,1,12813,17183,10724,6629,815,158
8690,1,4992,2792,1631,970,326,158
69520,9623,37441,44675,35670,12935,1956,158
17380,9623,15309,10954,14687,6629,815,1
26070,1,5324,3436,3497,1940,326,1
17380,19247,3827,4295,3030,1293,163,1
8690,1,5657,7302,6294,2102,163,1
8690,9623,2828,3221,3497,1616,489,1
8690,9623,1331,859,1865,646,1,1
8690,1,5824,6228,6294,1616,326,1
8690,9623,2163,1503,1865,970,1,1
8690,19247,9817,6873,10491,1940,1,1
8690,28870,6489,8806,7693,3233,652,1
8690,9623,11315,7302,6527,1778,163,1
8690,9623,3494,3436,2564,2263,1,1
26070,38494,12979,12887,11890,3395,326,158
8690,1,9318,6443,6061,2102,489,1
8690,19247,12313,10095,10491,7599,326,1
8690,1,499,1,1165,323,1,1
8690,9623,3494,6443,8859,3072,163,1
8690,1,10483,13531,8159,3233,1,1
8690,1,3161,2147,3497,646,163,1
17380,9623,18970,21908,21215,8408,1304,158
17380,1,1664,2792,2797,1131,163,1
17380,1,9984,10095,10025,6791,1793,475
8690,1,2496,3651,1865,485,1,1
34760,38494,17971,13746,10957,7599,6849,3965
8690,1,10982,10095,9092,2748,326,1
26070,9623,18470,18256,16786,4204,978,1
8690,28870,12313,12672,14921,5497,1793,158
8690,1,1331,1718,1398,161,326,1
8690,9623,2662,2147,2098,970,326,1
8690,9623,4326,3007,4429,1455,326,1
8690,1,4326,4510,2331,1293,489,1
8690,1,10317,6658,8859,4204,1304,1
8690,1,5990,5369,8159,4850,1467,158
8690,9623,6822,5369,7926,1940,652,158
8690,1,2828,2577,3030,2587,1,1
17380,19247,12813,9450,11190,3880,815,1
8690,1,1830,1718,1165,323,1,1
8690,19247,4659,4295,4662,4042,489,1
17380,9623,5824,5154,3030,2263,163,1
17380,1,13478,15464,15387,17139,8643,1586
8690,9623,3660,3651,2797,1455,489,1
17380,19247,1164,3651,1865,485,1,1
8690,1,5324,6228,3263,646,1,1
8690,9623,6156,7302,6294,2425,163,1
34760,19247,23629,19760,21682,8246,1304,1
8690,9623,10483,12457,11423,4204,652,1
8690,1,3993,5154,6061,3072,489,1
17380,9623,6323,6014,4662,2102,326,1
8690,9623,2995,2147,2797,1293,163,1
8690,9623,25293,18901,17951,9539,652,1
8690,9623,11315,10739,6061,2425,326,1
8690,1,8653,12887,9791,3395,1141,1
8690,1,4659,4940,3730,808,163,1
8690,9623,16973,14820,13755,5497,1793,1
17380,19247,9984,7947,13289,6306,2119,158
8690,1,1664,1503,699,485,163,1
8690,1,6489,7302,5828,3880,326,1
34760,9623,9318,6014,8159,4042,163,475
8690,1,832,859,2098,323,1,1
8690,1,1830,1933,1165,970,1,1
26070,9623,6822,8591,5828,2910,489,1
26070,1,12313,8591,8859,4689,163,1
8690,1,2163,3866,3963,2425,1,1
8690,1,18803,15464,12123,5659,489,1
