23187,1,17117,19439,20128,14547,6288,1191,239
3981,1,3501,3152,3594,5051,1217,397,239
5621,1,7780,5253,8986,6061,2434,397,1
4450,1,5446,8274,5751,5455,2840,198,1
468,1,2334,1182,718,202,405,1,1
2342,1,1167,1576,718,1010,405,1,1
3044,1,3890,2889,2156,2828,1014,1,1
702,1,1945,919,1797,2424,405,397,239
6323,1,6224,4859,4672,4444,1622,397,1
4918,1,4279,5253,4313,5051,2840,1,239
3981,1,7002,3677,2875,2222,811,198,1
3044,1,4668,2626,3594,3838,1014,1,1
1873,1,4279,1444,898,404,811,1,1
13818,1,12838,15761,14916,13334,4868,1389,1
13350,42707,14783,18519,17612,11112,4868,1191,239
702,1,1,919,539,202,1,1,1
3279,1,6224,5910,2875,3636,1217,1,1
5152,1,4668,3940,6290,4040,1420,595,1
9134,21353,9725,7880,7188,5051,2637,397,1
10071,1,6613,11689,10244,13941,4463,794,1
13584,1,12449,12609,10783,8283,4463,794,1
8666,1,8947,13003,9165,12122,3854,1786,1
702,21353,1556,2101,2336,2424,811,1,1
7260,1,10114,6435,5571,5253,3043,198,1
27403,64061,27232,21672,21027,15759,8317,1786,1
8666,1,9336,13528,9884,11920,5680,1389,479
3279,1,1945,1444,898,1010,811,1,1
22484,1,15561,16155,12400,11920,3854,595,1
20845,42707,21007,19045,21925,21820,15620,5558,239
19674,21353,21396,11689,14557,15759,6694,1389,239
4450,1,3890,4071,3234,4444,1014,198,1
7494,1,9725,8537,7009,7677,3448,1786,1
13350,21353,17117,10376,9345,9900,3854,595,1
16395,1,11670,12477,15995,12728,5071,1191,239
6792,1,5835,6961,5571,4849,3043,595,1
9602,1,7391,9194,6829,6667,2231,397,239
5152,1,4668,4334,3414,2222,1622,1,1
11476,1,6224,13003,10244,7475,4665,794,239
11945,1,14005,14448,8806,10910,5477,1191,1
2107,1,2334,1444,1617,1010,608,198,1
3747,1,5835,4334,1437,2020,1825,397,1
5152,21353,4668,2758,5032,3636,2434,397,1
1873,1,389,2232,1617,2222,608,1,1
14521,1,19062,17469,15456,15355,5071,1389,239
7729,21353,7780,6435,7188,4647,2840,794,1
13818,1,14394,12083,10783,11112,4868,992,479
2810,1,1945,2232,1258,2020,1217,397,1
3513,21353,1945,1576,2516,1414,1,198,1
25763,64061,34234,37302,33248,26063,12780,2183,1
2107,1,1556,3809,2156,1414,1420,1,1
10071,21353,8558,8274,10962,5253,3448,1588,1
27403,21353,27621,31260,28935,28690,11563,1985,1
10773,21353,9725,9588,13119,7879,2434,397,1
4918,1,7002,6173,5032,5051,2231,397,1
4450,1,3112,3152,5930,4040,1420,198,1
4215,1,4279,3152,3055,1414,1825,198,1
4684,1,6613,3809,3774,2424,811,198,1
17332,42707,10892,18782,13658,12324,5477,397,1
2107,1,2334,1707,1258,202,811,1,1
1873,1,1556,1182,1797,1212,811,1,239
1639,1,2723,2495,1797,1616,608,794,1
3747,1,2723,3020,1258,1212,405,1,1
936,1,389,1444,1078,1212,202,1,1
11710,1,10503,6698,6829,5859,3651,794,1
702,1,1556,525,1078,808,202,1,1
4918,1,3890,8012,6110,9698,4665,1786,239
10305,21353,8558,10507,10423,13334,5680,1389,239
5855,1,6613,7880,6290,13132,9331,6153,2635
21079,42707,19451,19176,19230,19194,6288,1985,1
3747,21353,2723,4859,4493,3838,2434,1,1
16629,21353,9725,11164,10603,6667,5680,1191,239
3981,1,3890,6698,5930,5859,4260,794,1
11945,1,10892,13397,11861,8485,4868,794,239
10071,1,7780,9194,9165,8485,2434,397,1198
3044,1,7002,3415,3055,3030,1420,397,1
24124,1,15172,11295,10064,7879,4057,397,1
25295,1,20618,19833,19589,14951,4463,1389,239
1639,1,1556,2101,898,808,1014,1,1
12647,1,14394,12346,13479,11314,3245,198,1
5855,1,9725,6830,6290,5657,1825,992,1
11945,85415,14005,10376,8626,8485,2434,397,1
3747,21353,2334,3152,2875,2828,1217,1,1
10071,1,8947,8800,7188,9092,1622,397,718
6089,1,3890,6435,2516,3838,2231,595,1
8431,1,8947,6173,7728,8283,1622,198,1
7026,1,6613,8143,7188,4444,2637,397,1
10539,1,7391,9194,7009,9294,3043,794,1
3044,1,4668,3283,3953,4242,1014,1,1
9602,1,7780,8800,9884,8283,4057,794,239
1639,21353,3501,6435,14916,21820,26981,14292,3594
11242,1,8558,9325,9525,8889,2840,198,1
3279,1,6613,5253,4313,2626,2231,198,1
26700,85415,23730,27188,19949,22224,9534,1389,239
41924,42707,40070,42162,37022,31519,18055,3771,479
3044,1,5057,4597,4133,3838,2028,397,239
7026,21353,5057,5647,3414,2020,1,198,1
5855,1,3112,3546,4672,4647,1217,198,1
15926,42707,15561,17337,12580,13334,5680,2580,1
4684,1,7391,8274,5571,4242,1825,1,1
10071,1,5446,3677,3953,4647,1622,595,1
5621,1,7391,6698,5751,4444,3043,794,1
3279,1,4279,3020,1797,2020,405,1,1
7963,1,7002,7092,7188,6869,3245,397,239
10071,1,5057,7618,5751,5051,3854,397,1
11945,1,8947,12083,8626,7475,4260,595,239
20142,1,20618,16943,22824,17173,7506,2779,479
34664,21353,32678,20227,22824,22022,7911,397,1
2576,1,1945,1838,1437,808,1,1,1
4215,1,8558,8800,3774,7879,2231,397,239
1873,1,1945,2626,1437,404,811,198,1
6792,1,8169,7092,8446,3838,3245,1191,1
3981,21353,1556,3546,3774,4849,2637,198,1
14989,1,12059,11295,9345,6465,3448,794,1
2342,1,3112,1576,2516,606,202,1,1
2576,1,3501,3020,2516,3232,405,794,239
3044,1,2723,3283,3234,1010,1,1,1
9602,1,10503,9850,6110,5657,4057,1588,239
1639,1,3501,1444,1617,808,1,1,1
468,1,1167,2101,4313,5051,6491,4962,718
1405,1,2334,2495,2516,2222,608,1,239
8666,1,14394,9850,10962,11516,4463,595,1
702,1,1,2232,1078,2020,1014,397,1
8666,128122,28399,56216,111606,209924,272046,160990,60860
10305,1,7391,8274,6469,4849,1825,794,1
8900,1,13227,14316,13838,13739,5274,1588,1
35366,42707,30344,31523,30013,33741,11969,4962,239
11242,1,12059,10245,7368,7273,2840,1,239
6323,21353,5835,2626,7009,4444,1622,1,1
3513,1,6613,3940,2156,1616,1014,1,1
31853,21353,27621,26794,26778,29498,12374,2382,479
31619,21353,30344,27714,28395,24649,10954,2977,239
14287,1,16728,16286,12580,9092,4665,397,1
5621,1,5446,4728,4852,2424,1420,1,1
8666,21353,13227,11164,9884,5859,4868,992,1
6792,1,4279,8668,4313,5051,2637,397,1
13818,21353,17895,18125,16354,18386,9940,3573,479
7494,1,8947,8537,6469,7677,2231,397,1
11008,21353,9725,9982,14737,9496,3854,1985,239
4918,1,4279,3809,6110,4444,2637,1191,1
6558,1,3501,3152,3774,2828,1420,595,1
7729,1,5835,4203,6829,4242,1217,992,1
2576,1,2334,2889,2336,2020,1014,198,1
6558,1,2723,5779,4133,4040,1622,595,1
3747,1,6224,3415,4313,3232,1217,1,1
2810,21353,3112,1838,2516,1010,405,1,1
4215,1,4279,4991,4493,5253,1622,1,1
7494,1,7002,10376,9704,7677,2840,992,1
1639,1,389,1838,898,1010,608,198,239
7494,21353,7780,8931,6829,4242,1420,397,239
6089,1,7780,7224,7188,5859,2231,595,1
1639,1,2334,2101,2875,1818,405,1,1
2107,1,1945,2364,1078,404,1014,1,1
1171,1,1945,2232,2156,1212,202,1,1
9368,1,9336,8143,10064,9900,3651,992,1
13584,1,7780,9456,8986,9900,4463,1588,479
11008,1,7780,7486,7368,7879,3245,595,1
10305,21353,12449,10376,6649,13334,3448,794,1
16395,21353,22563,21015,18511,17577,7911,2382,1
1873,1,1945,3020,1258,2222,405,1,1
6558,1,2723,5516,4133,5455,1825,198,1
3981,1,3112,4728,4493,3232,1217,1,1
16629,1,14394,20358,15995,11516,5274,2779,239
4215,1,1167,1707,1617,1212,202,1,239
2810,1,1,1313,1797,1616,1014,397,1
2342,1,5057,2758,3234,2828,1825,397,1
4684,21353,6224,5779,7368,8485,1825,992,239
18737,1,18284,16418,15815,12930,5680,1191,1
3747,1,4668,2889,4493,4242,1825,198,1
4215,1,5446,6304,4313,4242,1622,595,1
21079,21353,18284,18257,18691,14345,5680,2779,1
9602,1,8947,5122,4493,3232,2231,1,1
19908,21353,14783,19045,13658,9900,4868,794,1
11710,1,7780,7618,9345,5657,3651,1191,1
21313,1,29955,24036,16354,14143,6086,1191,1
5386,1,3890,4597,4313,3434,811,397,1
15224,21353,22174,13265,17073,13941,4057,1191,1
8666,1,8558,7355,6829,6061,2434,397,1
13584,1,16728,16681,12939,12122,5071,1389,1
11008,1,8947,9850,8986,4647,2028,198,1
1873,21353,1167,3020,2875,3434,1217,1,1
11945,1,7780,8537,7009,4849,2231,794,1
16629,1,12838,15236,12400,14345,4868,1588,1
22250,1,21007,21278,20308,21012,9331,1985,1
4215,1,2723,3152,2336,2626,1622,595,1
17097,1,15172,21672,17612,35761,95347,64515,25638
3044,1,3112,4991,3414,3232,1825,397,1
11008,1,8558,7618,6290,5253,3651,397,1
2107,1,1945,3152,2516,404,2028,595,1
10773,64061,15561,11821,10423,12324,4868,992,239
38411,42707,36958,39797,33248,27680,13592,3176,1
13584,42707,12449,11295,11861,12526,3651,794,1
10305,1,8947,4728,3953,3434,2231,397,239
16395,1,12838,15236,13479,10506,3448,198,1
936,1,1167,1182,2516,2626,608,595,1
10539,1,7002,11558,8087,9092,3854,198,1
8431,1,12449,7749,8446,6667,3043,1,1
7963,1,5835,7880,11681,6061,2028,397,1
15224,1,11670,12871,10423,8889,4665,992,1
4215,21353,2723,3415,5211,4242,811,794,1
28574,21353,31122,24561,27677,28690,21504,6352,1198
14053,1,10114,10376,10603,8081,3245,595,1
9368,1,7391,5253,5571,7273,1622,198,1
3981,1,7391,5253,2875,3636,2028,198,1
4450,1,5446,7355,6110,2424,2028,198,1
2810,1,4279,5910,5751,2828,1825,198,1
4684,21353,6613,6961,4133,2626,1622,1,239
5152,1,5057,8143,6649,3030,1825,397,239
7963,1,6613,5385,6829,5253,2231,397,1
2342,1,1556,1970,2336,2222,405,1,1
5855,1,8947,5385,9345,5051,2028,1,1
4450,1,4279,3809,6110,3636,1825,1,1
19908,21353,24898,17600,22824,11920,6086,992,239
5152,1,3112,2232,3055,3838,1014,198,1
17332,1,15950,14448,10244,7475,5477,595,1
1171,1,778,525,179,404,1,1,1
5855,1,5057,2364,2875,2222,1014,794,1
8197,1,9725,7486,7368,6465,1622,1,1
14755,1,15950,16549,14557,11112,4868,794,239
5386,1,6613,8800,7728,7071,3043,397,1
3513,42707,2334,1970,1437,1616,811,595,1
6558,21353,5057,6304,7188,8081,1825,1,239
2107,1,6224,3283,3594,3232,3043,198,1
2810,1,3112,3415,4313,1616,1217,1,1
6558,1,7780,6698,7009,4647,2028,397,1
4918,1,5057,5779,6110,4242,2231,198,1
5152,1,4668,8143,10962,11516,4665,595,1
10305,42707,45127,59499,135509,227502,268191,186201,84821
8431,21353,6613,10901,5032,5253,2840,198,1
8197,1,3890,3546,6649,4040,1622,397,1
4918,1,4668,4597,6649,5657,2637,595,718
5152,1,5057,6830,5751,6263,2231,397,1
6558,1,12838,9982,10244,14345,4868,595,1
10071,21353,9336,9850,9884,8485,3448,397,239
5152,1,5835,7618,4493,2828,811,198,1
17800,21353,17117,15498,17612,19194,8520,1191,1
5855,1,7780,4334,4313,4444,811,595,239
6558,1,5057,4991,4852,3636,811,1,1
7494,1,10114,7355,9165,4242,1014,794,1
6792,1,6613,8012,8626,7475,3448,992,239
25061,42707,26454,22854,24621,17577,10143,1389,1198
25763,21353,27621,21540,24262,15961,8317,1191,239
9602,1,8558,10770,12221,7879,3245,595,1
1873,1,1167,1576,1797,1212,1420,1,239
27403,1,37347,31654,38280,37176,12780,5161,1437
3747,1,4279,1970,1437,1212,608,1,1
4918,1,7391,6567,10423,4647,2840,397,1
14521,1,10892,15498,10962,10910,7911,1389,1
2576,1,1945,1970,1437,2626,1420,198,1
9602,1,8947,9850,8267,9294,3448,992,1
2107,1,4279,3283,1797,1414,202,595,1
8431,1,9336,13922,11861,9092,4665,1786,239
8666,1,8558,9062,8806,5253,3651,397,1
8666,21353,3501,9194,7548,3434,3854,595,1
15458,1,18673,16418,16354,10304,4057,2183,239
16863,1,9725,10507,8806,7475,2637,794,239
29277,192184,71192,117555,234356,371560,431703,263024,103271
2576,1,3501,4597,4133,4647,1622,198,1
16863,1,19062,16812,14557,12728,4260,2382,239
4684,21353,6224,5385,5032,4444,1014,992,1
28340,21353,31122,21934,24442,21214,8723,1786,1
1639,1,2334,2626,1797,3030,1014,198,239
16395,1,12449,12609,12400,11920,4665,1389,1
