file_prefix,sample
18032FL-111Q2-02-63,EvolvingFront_WGS_Plate3_G08
18032FL-111Q2-02-71,EvolvingFront_WGS_Plate3_G09
18032FL-111Q2-02-79,EvolvingFront_WGS_Plate3_G10
18032FL-111Q2-02-87,EvolvingFront_WGS_Plate3_G11
18032FL-111Q2-02-95,EvolvingFront_WGS_Plate3_G12
18032FL-111Q2-02-08,EvolvingFront_WGS_Plate3_H01
18032FL-111Q2-02-16,EvolvingFront_WGS_Plate3_H02
18032FL-111Q2-02-24,EvolvingFront_WGS_Plate3_H03
18032FL-111Q2-02-32,EvolvingFront_WGS_Plate3_H04
18032FL-111Q2-02-40,EvolvingFront_WGS_Plate3_H05
18032FL-111Q2-02-48,EvolvingFront_WGS_Plate3_H06
18032FL-111Q2-02-56,EvolvingFront_WGS_Plate3_H07
18032FL-111Q2-02-64,EvolvingFront_WGS_Plate3_H08
18032FL-111Q2-02-72,EvolvingFront_WGS_Plate3_H09
18032FL-111Q2-02-80,EvolvingFront_WGS_Plate3_H10
18032FL-111Q2-02-88,EvolvingFront_WGS_Plate3_H11
18032FL-111Q2-02-96,EvolvingFront_WGS_Plate3_H12
18032FL-111Q2-01-01,EvolvingFront_WGS_Plate4_A01
18032FL-111Q2-01-09,EvolvingFront_WGS_Plate4_A02
18032FL-111Q2-01-17,EvolvingFront_WGS_Plate4_A03
18032FL-111Q2-01-25,EvolvingFront_WGS_Plate4_A04
18032FL-111Q2-01-33,EvolvingFront_WGS_Plate4_A05
18032FL-111Q2-01-41,EvolvingFront_WGS_Plate4_A06
18032FL-111Q2-01-49,EvolvingFront_WGS_Plate4_A07
18032FL-111Q2-01-57,EvolvingFront_WGS_Plate4_A08
18032FL-111Q2-01-65,EvolvingFront_WGS_Plate4_A09
18032FL-111Q2-01-73,EvolvingFront_WGS_Plate4_A10
18032FL-111Q2-01-81,EvolvingFront_WGS_Plate4_A11
18032FL-111Q2-01-89,EvolvingFront_WGS_Plate4_A12
18032FL-111Q2-01-02,EvolvingFront_WGS_Plate4_B01
18032FL-111Q2-01-10,EvolvingFront_WGS_Plate4_B02
18032FL-111Q2-01-18,EvolvingFront_WGS_Plate4_B03
18032FL-111Q2-01-26,EvolvingFront_WGS_Plate4_B04
18032FL-111Q2-01-34,EvolvingFront_WGS_Plate4_B05
18032FL-111Q2-01-42,EvolvingFront_WGS_Plate4_B06
18032FL-111Q2-01-50,EvolvingFront_WGS_Plate4_B07
18032FL-111Q2-01-58,EvolvingFront_WGS_Plate4_B08
18032FL-111Q2-01-66,EvolvingFront_WGS_Plate4_B09
18032FL-111Q2-01-74,EvolvingFront_WGS_Plate4_B10
18032FL-111Q2-01-82,EvolvingFront_WGS_Plate4_B11
18032FL-111Q2-01-90,EvolvingFront_WGS_Plate4_B12
18032FL-111Q2-01-03,EvolvingFront_WGS_Plate4_C01
18032FL-111Q2-01-11,EvolvingFront_WGS_Plate4_C02
18032FL-111Q2-01-19,EvolvingFront_WGS_Plate4_C03
18032FL-111Q2-01-27,EvolvingFront_WGS_Plate4_C04
18032FL-111Q2-01-35,EvolvingFront_WGS_Plate4_C05
18032FL-111Q2-01-43,EvolvingFront_WGS_Plate4_C06
18032FL-111Q2-01-51,EvolvingFront_WGS_Plate4_C07
18032FL-111Q2-01-59,EvolvingFront_WGS_Plate4_C08
18032FL-111Q2-01-67,EvolvingFront_WGS_Plate4_C09
18032FL-111Q2-01-75,EvolvingFront_WGS_Plate4_C10
18032FL-111Q2-01-83,EvolvingFront_WGS_Plate4_C11
18032FL-111Q2-01-91,EvolvingFront_WGS_Plate4_C12
