EVO3D_IRA1_NON_rearray_Plate1-D5,56.7562
EVO3D_IRA1_NON_rearray_Plate1-D7,324.104
EVO3D_IRA1_NON_rearray_Plate1-E1,1.89307
EVO3D_IRA1_NON_rearray_Plate1-E2,253.874
EVO3D_IRA1_NON_rearray_Plate1-E4,1.7773
EVO3D_IRA1_NON_rearray_Plate1-E8,361.678
EVO3D_IRA1_NON_rearray_Plate2-B10,1.85097
EVO3D_IRA1_NON_rearray_Plate2-B11,507.789
EVO3D_IRA1_NON_rearray_Plate2-B12,516.304
EVO3D_IRA1_NON_rearray_Plate2-C10,545.41
EVO3D_IRA1_NON_rearray_Plate2-C11,2.02118
EVO3D_IRA1_NON_rearray_Plate2-C3,411.229
EVO3D_IRA1_NON_rearray_Plate2-C4,1.70335
EvolvingFront_WGS_Plate1_A01,521.69
EvolvingFront_WGS_Plate1_A02,553.163
EvolvingFront_WGS_Plate1_A03,265.357
EvolvingFront_WGS_Plate1_A04,4.28439
EvolvingFront_WGS_Plate1_A05,966.307
EvolvingFront_WGS_Plate1_A06,744.09
EvolvingFront_WGS_Plate1_A07,2.71627
EvolvingFront_WGS_Plate1_A08,194.943
EvolvingFront_WGS_Plate1_A09,710.504
EvolvingFront_WGS_Plate1_A10,629.287
EvolvingFront_WGS_Plate1_A11,759.352
EvolvingFront_WGS_Plate1_B03,590.314
EvolvingFront_WGS_Plate1_B04,1.25432
EvolvingFront_WGS_Plate1_B05,2
EvolvingFront_WGS_Plate1_B06,130.55
EvolvingFront_WGS_Plate1_B10,278.638
EvolvingFront_WGS_Plate1_C02,323.926
EvolvingFront_WGS_Plate1_C03,2.46936
EvolvingFront_WGS_Plate1_C04,471.226
EvolvingFront_WGS_Plate1_C05,360.649
EvolvingFront_WGS_Plate1_C06,320.857
EvolvingFront_WGS_Plate1_C07,90.5631
EvolvingFront_WGS_Plate1_D01,591.658
EvolvingFront_WGS_Plate1_D02,774.456
EvolvingFront_WGS_Plate1_D03,728.858
EvolvingFront_WGS_Plate1_D04,929.729
EvolvingFront_WGS_Plate1_D05,1.98065
EvolvingFront_WGS_Plate1_D06,1132.2
EvolvingFront_WGS_Plate1_D07,282.988
EvolvingFront_WGS_Plate1_D08,638.508
EvolvingFront_WGS_Plate1_D09,966.395
EvolvingFront_WGS_Plate1_D10,533.334
EvolvingFront_WGS_Plate1_D11,1472.03
EvolvingFront_WGS_Plate1_D12,1.76316
EvolvingFront_WGS_Plate1_E01,452.046
EvolvingFront_WGS_Plate1_E02,1
EvolvingFront_WGS_Plate1_E03,414.833
EvolvingFront_WGS_Plate1_E04,847.104
EvolvingFront_WGS_Plate1_E05,232.18
EvolvingFront_WGS_Plate1_F01,456.213
EvolvingFront_WGS_Plate1_F02,196.799
EvolvingFront_WGS_Plate1_F03,150.362
EvolvingFront_WGS_Plate1_F07,300.501
EvolvingFront_WGS_Plate1_F08,278.945
EvolvingFront_WGS_Plate1_F10,690.287
EvolvingFront_WGS_Plate1_G06,7.40649
EvolvingFront_WGS_Plate1_G08,448.984
EvolvingFront_WGS_Plate1_G09,1109.3
EvolvingFront_WGS_Plate1_G11,1.98684
EvolvingFront_WGS_Plate1_H04,3.27119
EvolvingFront_WGS_Plate1_H12,1.65722
EvolvingFront_WGS_Plate2_A01,148.433
EvolvingFront_WGS_Plate2_A02,180.251
EvolvingFront_WGS_Plate2_A03,96.6472
EvolvingFront_WGS_Plate2_A04,240.078
EvolvingFront_WGS_Plate2_A05,61.195
EvolvingFront_WGS_Plate2_A06,81.4048
EvolvingFront_WGS_Plate2_A07,268.13
EvolvingFront_WGS_Plate2_A08,147.878
EvolvingFront_WGS_Plate2_A09,166.516
EvolvingFront_WGS_Plate2_A10,165.894
EvolvingFront_WGS_Plate2_A11,18.5221
EvolvingFront_WGS_Plate2_A12,353.86
EvolvingFront_WGS_Plate2_B01,534.324
EvolvingFront_WGS_Plate2_B02,401.64
EvolvingFront_WGS_Plate2_B03,329.885
EvolvingFront_WGS_Plate2_B04,484.297
EvolvingFront_WGS_Plate2_B05,442.016
EvolvingFront_WGS_Plate2_B06,316.163
EvolvingFront_WGS_Plate2_B07,465.346
EvolvingFront_WGS_Plate2_B08,466.937
EvolvingFront_WGS_Plate2_B09,388.733
EvolvingFront_WGS_Plate2_B10,431.636
EvolvingFront_WGS_Plate2_B12,695.858
EvolvingFront_WGS_Plate2_C01,486.486
EvolvingFront_WGS_Plate2_C02,406.964
