1,2,3
1.2340383033612156e-05,1.9183935516576196e-05,2.2564997450274773e-05
1.519449189374154e-05,2.2994319974379187e-05,2.6681668772136974e-05
3.50834864865497e-05,5.1072012623400556e-05,5.9039614450699714e-05
9.407033965139407e-05,0.00013288747674693,0.00015252777872672106
0.00013222524096225655,0.0001930868677738512,0.00022368485934799848
0.00021850046536068475,0.0003342473206837107,0.0003927483741780861
0.00039082319299630665,0.0006094117665625923,0.0007201315479889625
0.0007629841126023833,0.0011722160982667726,0.0013770315822940046
0.0015352650649903764,0.002282282773767035,0.002642591097651663
0.0025673239230225497,0.0036734854974198755,0.004179725550262244
