5203,2607,2315,2110,1670,366,1
17872,17603,16012,18292,10578,1650,188
2488,4129,5015,4573,1670,550,1
4524,4129,5401,5276,2783,916,188
8144,16299,31639,64726,83884,46395,3583
2941,2607,3086,2110,1299,183,1
1357,1086,2122,3517,742,183,1
3393,3477,2507,3165,1670,366,1
2941,2173,4051,4924,2227,733,188
4524,8258,5594,8090,5010,1650,1
5203,6519,6559,4573,5753,733,188
5203,7606,5980,4924,5196,2017,1
1131,1086,964,1407,742,366,1
11085,10866,9067,7035,7237,1467,1
3845,3911,5787,5628,3154,733,1
15157,13039,15626,12663,9093,1650,942
4072,4346,4630,4573,4639,733,188
4524,4563,1929,2462,2598,366,1
1583,2607,1736,1407,1670,183,1
3167,3911,1736,2814,1299,183,1
23075,23036,20642,18643,13733,3117,1
22623,27165,27201,21458,17816,5134,754
3619,4563,3665,4924,2598,1650,1
4524,4129,4823,4573,1299,733,1
7918,6302,6173,7739,12434,2383,1
3845,2390,3086,4221,3897,1100,1
16514,16082,12732,15829,10021,2383,377
2714,2390,3279,1407,2041,1283,1
10406,9344,9453,10553,8351,2567,565
26242,25427,20642,20754,16145,4767,754
8596,8910,7909,11960,4825,1833,1
8596,10214,5401,3517,4082,2017,1
10632,8910,10996,8090,7980,1650,1
6334,4781,5401,5980,3340,366,1
10632,6954,9260,11608,4082,1100,1
10859,9779,10031,5276,4454,2383,1
14705,13039,13890,12312,7608,1283,188
29183,24992,23729,20754,16331,4217,1
15609,16951,17748,10201,8536,3300,1
4977,1955,1543,2110,1113,550,1
31898,37162,33761,35529,23383,7702,565
5429,4563,4823,3869,5196,2567,1
3619,1955,2315,2814,2412,733,1
3619,3911,4437,3517,3897,1650,1
6786,6085,6173,5980,4639,550,1
1583,3259,1736,2814,2412,550,1
2714,3477,1929,1407,927,183,565
4977,5215,8102,6683,4825,2200,1
2262,2390,2893,4221,13362,6785,377
6560,6737,5787,8794,4082,1833,377
10180,11735,9838,12663,6309,1650,1
8596,9127,5208,6683,2783,1100,188
5203,3911,5208,4573,2783,1467,1
16514,13908,15626,21809,10949,2750,377
8370,5215,8488,5980,7980,2934,377
15383,11735,13504,12663,11691,2383,1
904,1303,1543,2110,1670,550,1
7918,7606,5401,5980,4639,1283,1
11764,13691,17555,10553,7423,3667,1
1809,6085,3472,2110,742,550,1
18098,23688,21414,17940,12062,3117,1
1809,1521,2122,1407,1484,183,1
6108,8258,12154,9497,5938,1650,1
4524,3042,2700,2814,742,1467,1
